Titolo;Anno;Incasso ($);Franchise;Ambientazione;Tipo;Tomatometer (%);Popcornmeter (%);Classico
The Princess Diaries;2001;165334774;Disney;United States of America;Live Action;49;68;No
Freaky Friday;2003;160822438;Disney;United States of America;Live Action;88;58;No
The Muppets;2011;160461952;Disney;United States of America;Live Action;95;80;No
Planes: Fire and Rescue;2014;156399644;Disney;United States of America;Animation;44;56;No
The Haunted Mansion;2003;155750628;Disney;United States of America;Live Action;14;31;No
Cool Runnings;1993;155008909;Disney;Jamaica;Live Action;76;81;No
101 Dalmatians;1961;153302565;Disney;United Kingdom;Animation;98;76;Yes
The Game Plan;2007;146590987;Disney;United States of America;Live Action;29;69;No
Herbie: Fully Loaded;2005;144110682;Disney;United States of America;Live Action;40;39;No
The Jungle Book;1967;141843000;Disney;India;Animation;88;82;Yes
The Jungle Book 2;2003;139924202;Disney;India;Animation;19;29;No
Bridge to Terabithia;2007;137984788;Disney;United States of America;Live Action;85;70;No
Pete's Dragon;1977;137768975;Disney;United States of America;Live Action;56;60;No
Pete’s Dragon;2016;137768975;Disney;United States of America;Live Action;88;72;No
Remember the Titans;2000;136771683;Disney;United States of America;Live Action;71;93;No
The Princess Diaries 2: Royal Engagement;2004;134713435;Disney;United States of America;Live Action;26;59;No
Onward;2020;133357601;Pixar;Null;Animation;88;95;No
A Wrinkle in Time;2018;133214549;Disney;Null;Live Action;43;26;No
Eight Below;2006;120455994;Disney;Antarctica;Live Action;73;79;No
Soul;2020;120070522;Pixar;United States of America;Animation;95;88;No
Cinderella II: Dreams Come True;2002;120000000;Disney;Null;Animation;13;32;No
101 Dalmatians II: Patch's London Adventure;2003;120000000;Disney;United Kingdom;Animation;67;41;No
The Lion King 1½;2004;120000000;Disney;Kenya;Animation;76;62;No
Mulan II;2004;120000000;Disney;China;Animation;0;43;No
Snow Dogs;2002;116898028;Disney;United States of America;Live Action;26;40;No
Raya and the Last Dragon;2021;116203928;Disney;Null;Animation;93;97;Yes
Haunted Mansion;2023;114797989;Disney;United States of America;Live Action;38;84;No
Peter Pan: Return to Neverland;2002;109862682;Disney;Null;Animation;45;39;No
The Santa Clause 3: The Escape Clause;2006;107500122;Disney;Null;Live Action;17;39;No
Race to Witch Mountain;2009;105103784;Disney;United States of America;Live Action;42;44;No
Mary Poppins;1964;102299101;Disney;United Kingdom;Live Action;97;86;No
The Wild;2006;99010667;Disney;United States of America;Animation;18;36;No
Inspector Gadget;1999;97387965;Disney;United States of America;Live Action;20;18;No
The Tigger Movie;2000;96147688;Disney;Null;Animation;63;62;No
Old Dogs;2009;95104304;Disney;United States of America;Live Action;5;44;No
The Nightmare Before Christmas;1993;94564434;Disney;Null;Animation;95;92;No
Lady and the Tramp;1955;93638184;Disney;United States of America;Animation;93;80;Yes
Cinderella III: A Twist in Time;2007;92951843;Disney;France;Animation;75;61;No
Treasure Planet;2002;91800000;Disney;Null;Animation;69;72;Yes
The Lion King II: Simba's Pride;1998;90000000;Disney;Kenya;Animation;67;61;No
Peter Pan;1953;87404651;Disney;United Kingdom;Animation;78;80;Yes
The Shaggy Dog;2006;87123569;Disney;United States of America;Live Action;25;39;No
Pinocchio;1940;84300000;Disney;Italy;Animation;100;73;Yes
The Parent Trap;1998;83977418;Disney;United States of America;Live Action;87;70;No
Fantasia;1940;83320832;Disney;Null;Animation;95;83;Yes
Sky High;2005;83109359;Disney;Null;Live Action;74;57;No
Frankenweenie;2012;81150788;Disney;United States of America;Animation;87;70;No
The Rookie;2002;80491516;Disney;United States of America;Live Action;84;70;No
Muppets Most Wanted;2014;79312301;Disney;Null;Live Action;80;59;No
Home on the Range;2004;76482461;Disney;United Kingdom;Animation;52;29;Yes
Oliver & Company;1988;74151346;Disney;United States of America;Animation;53;62;Yes
Around the World in 80 Days;2004;72004159;Disney;Null;Live Action;32;34;No
Lady and the Tramp II: Scamp's Adventure;2001;72000000;Disney;United States of America;Animation;45;49;No
Holes;2003;71232214;Disney;United States of America;Live Action;78;76;No
Strange World;2022;70699728;Disney;Null;Animation;72;66;Yes
Mulan;2020;69973540;Disney;China;Live Action;71;46;No
The Kid;2000;69688384;Disney;Null;Live Action;49;49;No
102 Dalmatians;2000;66941559;Disney;United Kingdom;Live Action;30;32;No
Atlantis: Milo's Return;2003;66000000;Disney;Null;Animation;Null;24;No
Song of the South;1946;65000000;Disney;United States of America;Live Action;50;72;No
Miracle;2004;64474705;Disney;United States of America;Live Action;81;90;No
Piglet's Big Movie;2003;62870546;Disney;Null;Animation;70;64;No
Fantasia 2000;1999;60518248;Disney;Null;Animation;80;75;Yes
Secretariat;2010;60376247;Disney;United States of America;Live Action;64;76;No
Stitch! The Movie;2003;60000000;Disney;United States of America;Animation;20;50;No
Jungle 2 Jungle;1997;59925026;Disney;United States of America;Live Action;19;33;No
Honey I Blew Up the Kid;1992;58662452;Disney;United States of America;Live Action;38;24;No
Honey, I Blew Up the Kid;1992;58662452;Disney;United States of America;Live Action;38;24;No
Invincible;2006;58501127;Disney;United States of America;Live Action;71;73;No
The Lizzie McGuire Movie;2003;55534455;Disney;Italy;Live Action;41;49;No
The Odd Life of Timothy Green;2012;55249159;Disney;United States of America;Live Action;36;67;No
The Three Musketeers;1993;53661805;Disney;France;Live Action;30;62;No
The Jungle Book;1994;53508356;Disney;India;Live Action;80;56;No
Hocus Pocus;1993;51742971;Disney;United States of America;Live Action;41;72;No
The Love Bug;1968;51264000;Disney;United States of America;Live Action;78;66;No
Luca;2021;51112314;Pixar;Italy;Animation;91;84;No
College Road Trip;2008;50873923;Disney;United States of America;Live Action;13;50;No
The Mighty Ducks;1992;50752337;Disney;United States of America;Live Action;27;65;No
